loan_id,applicant_age,gender,marital_status,employee_status,residence_type,loan_purpose,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_interest,loan_percent_income,active_loans,loan_status
1,59,Women,Single,employed,MORTGAGE,Vehicle,9600000,29900000,12,778,2400000,17600000,22700000,8000000,6.54,8,3,Approved
2,64,Men,Single,self employed,MORTGAGE,Personal,4100000,12200000,8,417,2700000,2200000,8800000,3300000,0.65,14,3,Rejected
3,24,Men,Single,employed,MORTGAGE,Home Renovation,9100000,29700000,20,506,7100000,4500000,33300000,12800000,9.49,4,1,Rejected
4,63,Men,Married,self employed,OWN,Home Renovation,8200000,30700000,8,467,18200000,3300000,23300000,7900000,8.47,15,4,Rejected
5,77,Men,Single,self employed,RENT,Education,9800000,24200000,20,382,12400000,8200000,29400000,5000000,6.91,3,1,Rejected
6,77,Men,Single,self employed,RENT,Education,9800000,24200000,20,382,12400000,8200000,29400000,5000000,6.91,3,1,Rejected
7,77,Men,Single,self employed,RENT,Education,9800000,24200000,20,382,12400000,8200000,29400000,5000000,6.91,3,1,Rejected
8,77,Men,Single,self employed,RENT,Education,9800000,24200000,20,382,12400000,8200000,29400000,5000000,6.91,3,1,Rejected
9,55,Women,Single,employed,RENT,Medical,4800000,13500000,10,319,6800000,8300000,13700000,5100000,5.59,18,5,Rejected
10,55,Women,Single,employed,RENT,Medical,4800000,13500000,10,319,6800000,8300000,13700000,5100000,5.59,18,5,Rejected
11,55,Women,Single,employed,RENT,Medical,4800000,13500000,10,319,6800000,8300000,13700000,5100000,5.59,18,5,Rejected
12,55,Women,Single,employed,RENT,Medical,4800000,13500000,10,319,6800000,8300000,13700000,5100000,5.59,18,5,Rejected
13,55,Women,Single,employed,RENT,Medical,4800000,13500000,10,319,6800000,8300000,13700000,5100000,5.59,18,5,Rejected
14,73,Men,Single,self employed,MORTGAGE,Medical,8700000,33000000,4,678,22500000,14800000,29200000,4300000,8.84,18,5,Approved
15,38,Men,Single,student,OWN,Vehicle,800000,2200000,20,782,1300000,800000,2800000,600000,5.27,10,3,Approved
16,45,Women,Single,employed,OWN,Vehicle,2900000,11200000,2,547,8100000,4700000,9500000,3100000,3.49,4,1,Approved
17,50,Women,Single,self employed,RENT,Business,6700000,22700000,18,538,15300000,5800000,20400000,6400000,1.21,12,5,Rejected
18,53,Women,Single,student,OWN,Medical,5000000,11600000,16,311,6400000,9600000,14600000,4300000,5.5,8,1,Rejected
19,53,Women,Single,student,OWN,Medical,5000000,11600000,16,311,6400000,9600000,14600000,4300000,5.5,8,1,Rejected
